run,fold,seed,encoder,fusion,feats,heads,soft,f1,precision,recall,f1_tuned,threshold,auprc,auroc,ece,best_val_f1,best_epoch,epochs_run,min,peak_gb,f1_annotator_avg
x10-early+heads+soft,0,13,xlm-roberta-base,early,False,True,True,0.40610687022900765,0.39820359281437123,0.4143302180685358,0.43010752688172044,0.38,0.3407195711792002,0.8145225972939043,0.07298546620802203,0.40476190476190477,6,9,6.6,8.6,0.3596559812353401
x0-target-only,0,13,xlm-roberta-base,none,False,False,False,0.3665338645418327,0.3194444444444444,0.42990654205607476,0.3719745222929936,0.47000000000000003,0.32781757915563825,0.7329107964848655,0.10101343904550832,0.36101083032490977,4,7,3.6,6.6,
x10-early+heads+soft,1,13,xlm-roberta-base,early,False,True,True,0.39946380697050937,0.34976525821596244,0.465625,0.3741721854304636,0.15,0.371477267148009,0.8172154850746268,0.08868637711376262,0.3737704918032787,6,9,6.4,8.7,0.34820143884892085
x0-target-only,1,13,xlm-roberta-base,none,False,False,False,0.3896774193548387,0.33186813186813185,0.471875,0.3896774193548387,0.5,0.3557498481176793,0.7973898087686567,0.1091604306816104,0.4,5,8,3.8,6.6,
x10-early+heads+soft,2,13,xlm-roberta-base,early,False,True,True,0.4207221350078493,0.4240506329113924,0.4174454828660436,0.4207221350078493,0.5,0.4168785313741795,0.8502818157609838,0.06518905193552685,0.4016393442622951,7,10,7.1,8.6,0.40165289256198344
x0-target-only,2,13,xlm-roberta-base,none,False,False,False,0.3780487804878049,0.3106212424849699,0.48286604361370716,0.36893203883495146,0.6,0.32886535105825987,0.8143155662072262,0.10004339184681885,0.37888198757763975,4,7,3.3,6.6,
x10-early+heads+soft,3,13,xlm-roberta-base,early,False,True,True,0.3951890034364261,0.4372623574144487,0.3605015673981191,0.4,0.47000000000000003,0.3808032925473229,0.8216083457372735,0.06050729253723208,0.4904214559386973,9,10,7.1,8.6,0.3674745895230649
x0-target-only,3,13,xlm-roberta-base,none,False,False,False,0.35984354628422427,0.3080357142857143,0.43260188087774293,0.3458646616541353,0.7100000000000001,0.2925408736100726,0.768218591528216,0.1256886875461957,0.4,6,9,4.1,6.6,
x10-early+heads+soft,4,13,xlm-roberta-base,early,False,True,True,0.40480274442538594,0.44866920152091255,0.36875,0.4247787610619469,0.16999999999999998,0.36918339279645784,0.8263017917133259,0.05521712514200591,0.3697478991596639,7,10,7.1,8.6,0.38584667228306657
x0-target-only,4,13,xlm-roberta-base,none,False,False,False,0.3488108720271801,0.27353463587921845,0.48125,0.3418181818181818,0.56,0.29150181589056345,0.7741344718178425,0.1350009141813567,0.36363636363636365,4,7,3.5,6.6,
