run,fold,seed,encoder,fusion,feats,heads,soft,f1,precision,recall,f1_tuned,threshold,auprc,auroc,ece,best_val_f1,best_epoch,epochs_run,min,peak_gb,f1_annotator_avg
x0-target-only,0,13,xlm-roberta-base,none,False,False,False,0.3665338645418327,0.3194444444444444,0.42990654205607476,0.3719745222929936,0.47000000000000003,0.32781757915563825,0.7329107964848655,0.10101343904550832,0.36101083032490977,4,7,3.6,6.6,
x1-early-fusion,0,13,xlm-roberta-base,early,False,False,False,0.362116991643454,0.327455919395466,0.40498442367601245,0.3638814016172507,0.45,0.32243783687306893,0.7949458315897149,0.0933568793549058,0.35294117647058826,5,8,5.8,8.6,
x2-early+priors,0,13,xlm-roberta-base,early,True,False,False,0.35939643347050754,0.32107843137254904,0.40809968847352024,0.3673469387755102,0.42000000000000004,0.28670974965928503,0.7630469149579207,0.09412638792164205,0.36428571428571427,4,7,5.0,8.6,
x3-early+annotator-heads,0,13,xlm-roberta-base,early,False,True,False,0.34935897435897434,0.35973597359735976,0.3395638629283489,0.36548223350253806,0.1,0.31886315637991547,0.7777165573999163,0.08932798740995014,0.3700787401574803,5,8,5.8,8.6,0.3337765957446808
x4-early+soft-votes,0,13,xlm-roberta-base,early,False,False,True,0.37310195227765725,0.28618968386023297,0.5358255451713395,0.3783068783068783,0.6,0.2874909565416825,0.7691141256335147,0.13443573042683638,0.3974358974358974,3,6,4.3,8.6,
x5-early+priors+heads+soft,0,13,xlm-roberta-base,early,True,True,True,0.39221140472878996,0.3542713567839196,0.4392523364485981,0.39221140472878996,0.5,0.3375972449899651,0.8111242851164736,0.08856197123550609,0.38405797101449274,6,9,6.5,8.6,0.36335642802155504
x6-early-target-first,0,13,xlm-roberta-base,early,False,False,False,0.36147186147186144,0.2769485903814262,0.5202492211838006,0.363447559709242,0.46,0.2730897192291603,0.7649189798670201,0.14006521453337992,0.3355263157894737,3,6,4.4,8.6,
x7-early-xlmr-large,0,13,xlm-roberta-large,early,False,False,False,0.4005270092226614,0.3470319634703196,0.4735202492211838,0.4032258064516129,0.53,0.3464781887983189,0.817769795880411,0.10323727874724058,0.3950617283950617,4,7,15.1,15.2,
x8-early-mdeberta-base,0,13,microsoft/mdeberta-v3-base,early,False,False,False,0.38475177304964536,0.26889714993804215,0.67601246105919,0.36538461538461536,0.32,0.36279276870865507,0.814938740875064,0.18297034687037067,0.3283582089552239,5,8,9.3,15.7,
x9-early-roberta-tagalog,0,13,jcblaise/roberta-tagalog-base,early,False,False,False,0.33690360272638753,0.24504249291784702,0.5389408099688473,0.3247863247863248,0.63,0.26493048961391397,0.7495332914864927,0.15931609107601313,0.29333333333333333,3,6,3.6,5.5,
x10-early+heads+soft,0,13,xlm-roberta-base,early,False,True,True,0.40610687022900765,0.39820359281437123,0.4143302180685358,0.43010752688172044,0.38,0.3407195711792002,0.8145225972939043,0.07298546620802203,0.40476190476190477,6,9,6.6,8.6,0.3596559812353401
x11-early+priors+soft,0,13,xlm-roberta-base,early,True,False,True,0.3469945355191257,0.30900243309002434,0.3956386292834891,0.3202614379084967,0.62,0.287245278457247,0.7742775607941601,0.1113219575845363,0.3617021276595745,4,7,5.0,8.6,
x12-early+priors+heads,0,13,xlm-roberta-base,early,True,True,False,0.4012539184952978,0.4037854889589905,0.3987538940809969,0.4426450742240216,0.32,0.37367324766202553,0.8071889384851445,0.07617309171491064,0.3712121212121212,5,8,5.7,8.6,0.34668508287292815
x13-early-xlmr-large+priors+heads+soft,0,13,xlm-roberta-large,early,True,True,True,0.4383954154727794,0.40583554376657827,0.4766355140186916,0.43564356435643564,0.49000000000000005,0.3976449213299794,0.842338540940159,0.06470399436106662,0.4489795918367347,4,7,15.4,15.2,0.40427280197206245
x0-target-only,0,42,xlm-roberta-base,none,False,False,False,0.35325365205843295,0.30787037037037035,0.4143302180685358,0.3476005188067445,0.46,0.3049276766607432,0.7773201748268006,0.10899274903922924,0.32234432234432236,5,8,4.0,6.6,
x0-target-only,0,7,xlm-roberta-base,none,False,False,False,0.3530895334174023,0.2966101694915254,0.43613707165109034,0.34674063800277394,0.6,0.32153700794060097,0.7678575580043706,0.12579196105805507,0.34814814814814815,5,8,4.0,6.6,
x4-early+soft-votes,0,42,xlm-roberta-base,early,False,False,True,0.355601233299075,0.26533742331288346,0.5389408099688473,0.34587813620071683,0.46,0.2791101493322819,0.7653996373273817,0.2784626785515547,0.34674922600619196,3,6,4.2,8.6,
x4-early+soft-votes,0,7,xlm-roberta-base,early,False,False,True,0.39826839826839827,0.3709677419354839,0.42990654205607476,0.399529964747356,0.33,0.3392322374570028,0.8028996373273817,0.07822873402257027,0.359375,6,9,6.3,8.6,
x10-early+heads+soft,0,42,xlm-roberta-base,early,False,True,True,0.375,0.3221476510067114,0.4485981308411215,0.38477366255144035,0.36000000000000004,0.3023247550827003,0.7913411912400613,0.08912740587005476,0.3684210526315789,3,6,4.3,8.6,0.35514018691588783
x10-early+heads+soft,0,7,xlm-roberta-base,early,False,True,True,0.39787234042553193,0.30210016155088854,0.5825545171339563,0.4,0.49000000000000005,0.3415092617844205,0.8105006509508532,0.1258163676966945,0.36151603498542273,4,7,5.0,8.6,0.3275217932752179
