run,slice,macro_f1,accuracy,n
stage1-external(tx),overall,0.6250565423060955,0.6307897367544152,3001
stage1-external(tx),language=english,0.6325385306241635,0.6282973621103117,834
stage1-external(tx),language=tagalog,0.5547609760228943,0.5936352509179926,817
stage1-external(tx),language=taglish,0.6446031156176084,0.6548148148148148,1350
stage1-external(tx),gold_sarcastic=False,0.6489775508452004,0.6481343283582089,2680
stage1-external(tx),gold_sarcastic=True,0.24333752269236142,0.48598130841121495,321
stage1-external(tx),sarcastic ∧ literal≠intended,0.1976260611055353,0.34134615384615385,208
stage1-only,overall,0.5974340357349203,0.6024658447184272,3001
stage1-only,language=english,0.5984685861923287,0.605515587529976,834
stage1-only,language=tagalog,0.5457068065473032,0.602203182374541,817
stage1-only,language=taglish,0.601060795264632,0.6007407407407407,1350
stage1-only,gold_sarcastic=False,0.631534170547011,0.6388059701492538,2680
stage1-only,gold_sarcastic=True,0.18236451343412294,0.29906542056074764,321
stage1-only,sarcastic ∧ literal≠intended,0.12877370417193426,0.17307692307692307,208
two-stage,overall,0.6044304025899648,0.6104631789403532,3001
two-stage,language=english,0.6047088762879589,0.605515587529976,834
two-stage,language=tagalog,0.5510392443439898,0.6083231334149327,817
two-stage,language=taglish,0.6117339916337102,0.6148148148148148,1350
two-stage,gold_sarcastic=False,0.6220501192850043,0.6264925373134328,2680
two-stage,gold_sarcastic=True,0.2477242404282988,0.4766355140186916,321
two-stage,sarcastic ∧ literal≠intended,0.20925014091097616,0.35096153846153844,208
two-stage (oracle flag),overall,0.6188770651125112,0.627790736421193,3001
two-stage (oracle flag),language=english,0.6328953314457562,0.6390887290167866,834
two-stage (oracle flag),language=tagalog,0.563236953387434,0.6242350061199511,817
two-stage (oracle flag),language=taglish,0.6190069892546194,0.6229629629629629,1350
two-stage (oracle flag),gold_sarcastic=False,0.631534170547011,0.6388059701492538,2680
two-stage (oracle flag),gold_sarcastic=True,0.2541247492838088,0.5358255451713395,321
two-stage (oracle flag),sarcastic ∧ literal≠intended,0.21609502188407573,0.40384615384615385,208
stage2-everywhere,overall,0.6121319934784654,0.6184605131622792,3001
stage2-everywhere,language=english,0.6122044726463253,0.6115107913669064,834
stage2-everywhere,language=tagalog,0.5627633848492745,0.6132190942472461,817
stage2-everywhere,language=taglish,0.6207056075776185,0.6259259259259259,1350
stage2-everywhere,gold_sarcastic=False,0.6267888178887852,0.6283582089552239,2680
stage2-everywhere,gold_sarcastic=True,0.2541247492838088,0.5358255451713395,321
stage2-everywhere,sarcastic ∧ literal≠intended,0.21609502188407573,0.40384615384615385,208
two-stage (external stage 1),overall,0.6212979666805075,0.6307897367544152,3001
two-stage (external stage 1),language=english,0.6213473357228976,0.6187050359712231,834
two-stage (external stage 1),language=tagalog,0.5594417143823537,0.6034271725826194,817
two-stage (external stage 1),language=taglish,0.6408691708618053,0.6548148148148148,1350
two-stage (external stage 1),gold_sarcastic=False,0.6359155899232235,0.6358208955223881,2680
two-stage (external stage 1),gold_sarcastic=True,0.2764051838679968,0.5887850467289719,321
two-stage (external stage 1),sarcastic ∧ literal≠intended,0.247218505302805,0.47115384615384615,208
